year,Italy,Germany,France,Spain
1960,100,100,100,100
1961,104.031306,105.2289294,107.2463811,110.8712731
1962,112.0295962,110.4533887,114.6442797,120.7991617
1963,123.5856805,113.6518537,122.1027286,134.8546367
1964,130.0093107,119.3632649,128.0748791,144.1478073
1965,136.0860055,125.9877391,132.8487952,152.6357923
1966,143.4503739,131.0646859,136.8806814,166.5785188
1967,150.7381656,133.2878154,142.2701982,176.0355597
1968,160.0606273,139.034195,152.6589672,180.8567392
1969,165.9496688,146.1914322,158.114547,192.3007172
1970,179.6763472,157.4162545,166.0574047,198.544189
1971,189.898806,163.084225,174.5116932,209.1574113
1972,196.4446141,170.9165897,179.878302,226.9317952
1973,205.4910236,179.7486572,187.5831451,240.1143302
1974,210.08165,186.3069633,197.3414316,251.1497419
1975,215.3183853,188.5546865,205.6194879,263.421856
1976,222.3403146,196.7400232,212.975664,278.9980006
1977,226.7380496,203.1850507,219.6222334,286.631223
1978,230.5322741,206.6564804,225.4323316,296.5032901
1979,238.6088041,209.3229027,229.8657604,301.7009341
1980,240.1683436,211.6267878,234.8526743,311.9175629
1981,246.0900691,212.4915766,238.4253691,320.4134592
1982,242.9719682,211.1116992,242.3461055,320.7905348
1983,243.5153024,211.781326,242.5695128,326.3253825
1984,245.0902217,213.7165073,243.9521828,324.5787416
1985,246.2219324,214.2676652,244.5715043,326.1473096
1986,245.3943169,214.6556624,242.4341316,322.1218008
1987,249.3471223,217.9487834,243.8807099,325.4336364
1988,252.4506538,219.7879669,246.3638504,330.1046273
1989,257.3726477,219.1352097,248.279555,331.505597
1990,260.6583202,221.7123073,254.6317457,340.0298148
1991,260.3573077,227.7590699,257.2411223,349.7922396
1992,262.4032246,238.53033,262.1915962,364.5464168
1993,262.3707548,239.0093513,263.6202527,374.317067
1994,263.1980349,241.0115417,263.8003254,373.5791842
1995,261.2407172,244.4239662,266.1028558,369.2645677
1996,265.7354365,245.5044359,267.2432597,370.2008482
1997,270.4785181,246.3621695,268.7819089,372.1352684
1998,260.7508384,247.019801,270.511908,371.2257872
1999,262.3836827,248.971371,274.8657041,369.1618458
2000,263.4172136,254.2457263,277.5583605,368.4237645
2001,263.5155725,255.9046442,279.6061963,363.9126175
2002,261.3799229,255.5375704,283.5815347,361.8351866
2003,260.8796578,256.6191255,286.4609134,354.9447682
2004,262.7090266,254.5935415,291.5630683,350.9575767
2005,264.2704296,254.4679723,294.7618787,345.5821008
2006,264.5560133,256.1793498,297.7495809,343.9387841
2007,263.8896072,254.2795197,297.5668259,345.95937
2008,264.9857926,257.7011525,298.2438125,361.2518884
2009,261.8620221,253.9328358,302.8493284,374.9483505
2010,266.8164603,258.8029342,308.1950001,378.4020199
2011,265.1577813,263.7024607,312.3945268,378.6024157
2012,257.8586095,266.6867033,315.5359194,373.4531616
2013,256.9620353,266.5935141,318.7479063,372.3720014
2014,254.9679602,269.2213662,320.6323839,373.7244212
2015,255.1939536,271.6877106,320.4327565,375.3138642
2016,253.2228452,274.2844256,322.5470385,373.8832128
2017,252.3869855,277.2984278,327.144244,371.7275124
2018,254.656767,279.8767784,329.3774328,373.1105601
2019,255.4967999,283.5161184,325.0835409,376.8165184
2020,239.1375459,280.0607881,307.9819306,367.6266271
2021,252.187482,281.0267507,320.3583978,370.188011
